variant,ppl_mean,ppl_std,dPPL_vs_full_mean,dPPL_vs_full_std,dPPL_vs_sw128m_mean,dPPL_vs_sw128m_std,n_seeds,params,avg_dyn_block_len,boundary_f1_dyn,boundary_excess_dyn
full,496.30329560099153,0.0,,,,,1,9047296,,,
full_matched,488.28355758234113,0.0,-8.0197380186504,0.0,-6.684838104743449,0.0,1,11216128,,,
full_cos,591.5760942600585,0.0,95.272798659067,0.0,96.60769857297396,0.0,1,9047296,,,
full_sw128,508.65653657094305,0.0,12.353240969951514,0.0,13.688140883858466,0.0,1,9047296,,,
full_sw128_matched,494.9683956870846,0.0,-1.334899913906952,0.0,,,1,11216128,,,
csa_fixed,378.77018226407944,0.0,-117.5331133369121,0.0,-116.19821342300514,0.0,1,11216176,,,
csa_dynamic,377.55382958862185,0.0,-118.74946601236968,0.0,-117.41456609846273,0.0,1,11216182,4.2774717807769775,0.10536914328397752,0.017247289187524655
hybrid_fixed,379.5637589990323,0.0,-116.73953660195923,0.0,-115.40463668805228,0.0,1,10623280,,,
hybrid_dynamic,448.30224061398604,0.0,-48.00105498700549,0.0,-46.66615507309854,0.0,1,10623286,25.74863855044047,0.05714934911160178,-0.002086925711199347
